Date,EURUSD=X,GOOG,MC.PA,MSFT,SAN.MC,TEF.MC,TSLA,bund_10y,spain_10y,us_30y
2024-05-28,1.0861891508102417,176.57037353515625,709.6141967773438,423.66180419921875,4.4646172523498535,3.636404037475586,176.75,774.4475943572793,719.3449718744962,254.8030554641026
2024-05-29,1.0851871967315674,175.95541381835938,689.4319458007812,422.5296325683594,4.3966383934021,3.611361026763916,176.19000244140625,767.3871349851155,713.3174118815306,249.52869262032164
2024-05-30,1.0801819562911987,172.14669799804688,699.1422729492188,408.25396728515625,4.489465713500977,3.678718090057373,178.7899932861328,769.4828178238314,716.4281493456194,253.34666747546106
2024-05-31,1.0835410356521606,172.54342651367188,699.6182250976562,408.7068786621094,4.533066272735596,3.7003061771392822,178.0800018310547,770.0077216665912,716.3588599452256,255.75434447055892
2024-06-03,1.0853049755096436,172.9996795654297,702.5693969726562,407.1217346191406,4.548537731170654,3.76766300201416,176.2899932861328,774.7496203830547,722.694488975064,263.95210337630186
2024-06-04,1.0907385349273682,173.70391845703125,699.7134399414062,409.63232421875,4.444927215576172,3.84710955619812,174.77000427246094,778.2322478368418,724.025075909115,269.00064033208
2024-06-05,1.0881866216659546,175.62811279296875,716.4684448242188,417.449462890625,4.388199329376221,3.7987513542175293,175.0,781.3508470416672,727.6804824272205,272.3434276351427
2024-06-06,1.087453007698059,176.897705078125,726.08349609375,417.9515380859375,4.4477410316467285,3.8134312629699707,177.94000244140625,778.080471679769,724.2354148134542,272.0306678548105
2024-06-07,1.0894432067871094,174.51719665527344,725.8931884765625,417.2919006347656,4.438832759857178,3.780616283416748,177.47999572753906,772.4123031425444,715.9432783121299,262.969291393515
2024-06-10,1.0778882503509521,175.3910369873047,710.4708862304688,421.2497253417969,4.417266368865967,3.7452104091644287,173.7899932861328,768.0600618342346,709.3984541082416,259.59635111944266
2024-06-11,1.0764262676239014,176.9401092529297,701.236572265625,425.98529052734375,4.3192830085754395,3.694261312484741,170.66000366210938,771.9608156766965,711.9396335180573,264.1794446734899
2024-06-12,1.0740330219268799,178.3004913330078,700.09423828125,434.23565673828125,4.313187599182129,3.660583019256592,177.2899932861328,778.5358978609609,718.4407523614802,268.6147052748942
2024-06-13,1.0813149213790894,175.5002899169922,696.3814086914062,434.74755859375,4.126595973968506,3.574228286743164,182.47000122070312,781.7321035163109,717.5377829596173,274.70100186620635
2024-06-14,1.0738831758499146,177.1188507080078,677.2464599609375,435.7222900390625,4.10549783706665,3.5491855144500732,178.00999450683594,792.1811682751423,720.4595763497626,278.59716082190215
2024-06-17,1.0702168941497803,177.52597045898438,682.9584350585938,441.43255615234375,4.135034084320068,3.585454225540161,187.44000244140625,787.8601205730542,718.6493073776251,273.9128094716713
